,FFP_TIER,AVG_INTERVAL,avg_discount,EXCHANGE_COUNT,Point_NotFlight,Ration_L1Y_Flight_Count,L1Y_BP_SUM,P1Y_BP_SUM,Customer_Status
126,5,10.78125,1.318943707,0,4,0.584615385,80338,56955,准流失
127,6,25.88235294,0.982511386,2,2,0.833333333,145665,16419,准流失
128,6,11.13846154,1.39722054,1,8,0.560606061,79119,60036,准流失
129,6,13.01960784,1.356986792,2,13,0.596153846,83086,44952,准流失
130,6,24.5,0.780547269,0,0,0.407407407,40481,78824,已流失
131,6,3.78125,0.675609779,17,25,0.461139896,52878,77797,已流失
132,6,4.921875,0.764,1,14,1.0,112582,0,未流失
133,4,42.46153846,0.97367319,2,3,0.357142857,61005,106715,已流失
134,5,30.73913043,0.658633893,2,2,0.625,49744,55828,准流失
135,6,7.965909091,0.787337009,0,2,0.561797753,80086,42646,准流失
136,6,12.875,1.42497258,10,14,0.596491228,79020,60736,准流失
137,6,7.15,0.996902945,9,32,0.485148515,60905,61900,已流失
138,6,21.05555556,0.897522308,0,0,0.894736842,126092,13287,准流失
139,5,7.425531915,0.988949912,9,16,0.347368421,54190,74497,已流失
140,6,8.595238095,1.423453171,3,46,0.494117647,66741,69824,已流失
141,6,6.61682243,0.817685954,12,89,0.453703704,69211,77753,已流失
142,6,11.47619048,1.426656247,15,22,0.5625,76146,53454,准流失
143,6,6.446428571,0.674381581,3,32,0.584070796,76285,38223,准流失
144,6,24.16666667,1.438600025,13,16,0.548387097,79043,59186,准流失
145,6,9.051282051,1.065611103,6,49,0.556962025,64341,58762,准流失
146,5,6.324074074,0.843554751,1,5,0.495412844,65019,58873,已流失
147,4,33.94444444,0.681331859,3,3,0.421052632,37216,44196,已流失
148,6,5.823529412,0.790287551,13,50,0.541666667,67977,55438,准流失
149,5,16.40909091,1.154155854,1,7,0.577777778,81967,44823,准流失
150,4,33.05555556,0.988910129,1,2,0.263157895,47637,110936,已流失
151,6,24.0,0.993493225,5,6,0.363636364,49265,108544,已流失
152,6,8.873417722,1.277942503,0,17,0.5125,69871,53962,准流失
153,6,8.802469136,1.255920537,5,8,0.585365854,71745,53880,准流失
154,5,7.865168539,0.744693267,7,49,0.577777778,59559,75557,准流失
155,6,35.0625,0.931991388,2,3,0.352941176,74028,76726,已流失
156,5,18.36842105,1.374724556,0,7,0.307692308,29753,98172,已流失
157,6,7.01980198,1.295748779,10,38,0.578431373,68200,59564,准流失
158,5,7.820224719,0.843185667,3,54,0.444444444,63910,77997,已流失
159,6,5.693548387,0.75433474,14,23,0.56,66652,51230,准流失
160,6,9.197368421,1.414713624,0,6,0.571428571,61548,59042,准流失
161,6,9.230769231,0.843179595,12,81,0.329113924,52036,72802,已流失
162,6,6.104347826,0.802227557,1,8,0.577586207,59225,60929,准流失
163,6,12.33333333,1.448642081,7,13,0.482758621,57835,65496,已流失
164,5,6.666666667,0.914492693,11,16,0.559633028,79697,53655,准流失
165,6,3.977653631,0.720028487,4,15,0.5,51116,54326,准流失
166,6,7.039215686,0.602317149,6,82,0.59223301,56136,36550,准流失
167,5,6.801886792,0.841613512,1,8,0.514018692,50728,70676,准流失
168,5,46.53846154,1.040394289,3,3,0.357142857,75605,77473,已流失
169,6,4.912162162,0.836742487,5,9,0.476510067,62414,53748,已流失
170,5,8.973333333,1.380177417,0,4,0.407894737,32241,90160,已流失
171,6,12.90740741,1.369523774,0,6,0.436363636,56556,69665,已流失
172,6,8.835443038,1.407186108,4,7,0.525,62240,58578,准流失
173,6,18.30769231,0.926317142,6,14,0.6,68722,73442,准流失
174,6,5.063829787,0.702883928,5,10,0.485915493,48259,61033,已流失
175,6,24.30769231,1.016463224,0,0,1.0,147158,0,未流失
176,6,28.39130435,1.026238631,3,6,0.833333333,103754,38992,准流失
177,5,53.5,1.014545871,3,5,0.692307692,90366,60484,准流失
178,6,8.369047619,0.843447435,10,46,0.635294118,77254,43500,准流失
179,6,10.34328358,1.085817147,0,6,0.544117647,59056,50210,准流失
180,6,6.234782609,0.786706177,6,44,0.456896552,48966,68647,已流失
181,6,5.909836066,1.419099832,2,7,0.544715447,57713,53938,准流失
182,6,14.67391304,1.389867279,7,12,0.70212766,77010,38342,准流失
183,4,36.23076923,1.022610665,2,2,0.5,62490,86366,准流失
184,5,12.9375,1.394936204,0,6,0.306122449,35076,84024,已流失
185,5,8.482352941,0.799002655,22,33,0.593023256,67501,51042,准流失
186,5,12.08474576,1.182681834,0,4,0.35,52004,62441,已流失
187,6,6.577981651,0.750906841,8,33,0.463636364,66271,50261,已流失
188,6,39.14285714,0.681333333,0,3,0.266666667,25588,72112,已流失
189,6,10.98484848,1.046676247,0,5,0.462686567,73456,45334,已流失
190,6,11.36,1.259950118,3,6,0.745098039,97966,23794,准流失
191,6,9.0,1.289827497,5,9,0.445945946,52166,70052,已流失
192,6,59.18181818,1.023333333,0,1,0.416666667,61690,83519,已流失
193,5,12.27586207,1.461263576,10,22,0.491525424,49264,57301,已流失
194,6,5.915966387,0.701123814,12,47,0.6,64653,40138,准流失
195,6,12.28813559,1.40060309,16,25,0.683333333,80481,38603,准流失
196,6,9.285714286,1.366744227,0,40,0.842105263,94399,16797,准流失
197,5,15.73809524,0.631640227,0,0,0.511627907,52106,49570,准流失
198,6,6.428571429,0.81511929,3,13,0.477876106,50247,58840,已流失
199,5,17.12195122,0.743348652,0,0,0.476190476,47762,43522,已流失
200,6,12.35087719,1.299097235,3,8,0.465517241,49421,70081,已流失
201,4,33.13333333,0.66544855,0,0,0.6875,74716,37220,准流失
202,6,5.776859504,0.68017726,11,16,0.540983607,58270,50782,准流失
203,6,10.16901408,1.343311285,5,16,0.638888889,68176,51634,准流失
204,6,6.330357143,1.008554047,2,17,0.477876106,52271,65154,已流失
205,6,9.592105263,0.777235347,3,12,0.545454545,54475,58468,准流失
206,5,12.83928571,1.332451177,0,8,0.456140351,54712,64265,已流失
207,5,42.8,1.057235119,1,1,0.5625,92310,47193,准流失
208,6,9.092105263,0.803643702,13,48,0.61038961,88640,46763,准流失
209,6,8.356321839,1.039534044,3,17,0.522727273,73105,36499,准流失
210,5,56.08333333,0.884236795,4,5,0.307692308,32568,103280,已流失
211,6,5.853658537,1.070194781,0,4,0.483870968,51713,64177,已流失
212,6,10.17647059,0.823818121,5,10,0.47826087,50696,68873,已流失
213,6,10.75384615,1.406350341,2,12,0.363636364,34254,79254,已流失
214,5,24.88,0.679305671,1,3,0.269230769,29234,73465,已流失
215,6,12.44827586,1.273062688,5,24,0.559322034,59836,57380,准流失
216,6,5.846774194,0.637994577,2,8,0.584,57563,34917,准流失
217,5,7.46875,0.701652637,4,7,0.422680412,42243,58825,已流失
218,5,12.69642857,0.832500467,0,3,0.50877193,55012,51657,准流失
219,6,8.015873016,0.457967364,10,13,0.9375,88743,5667,未流失
220,6,12.64583333,1.350911443,0,5,0.285714286,29613,91313,已流失
221,6,12.68421053,1.423312271,3,11,0.534482759,58233,54493,准流失
222,6,5.311111111,0.82433441,9,13,0.639705882,76646,36608,准流失
223,5,10.55223881,0.804845344,0,2,0.529411765,51762,45607,准流失
224,5,10.3,0.664729007,2,11,0.718309859,72435,21427,准流失
225,6,6.191304348,0.916310894,6,14,0.456896552,33868,67259,已流失
226,6,6.513761468,0.693026819,1,8,0.727272727,80005,23980,准流失
227,5,6.798076923,0.823284201,9,14,0.514285714,65296,46554,准流失
228,6,13.52941176,1.433468257,1,9,0.442307692,47598,63560,已流失
229,6,6.885714286,0.714441235,7,11,0.518867925,50952,49625,准流失
230,6,52.8,1.065035317,1,6,0.545454545,90726,47817,准流失
231,6,11.94827586,1.283990608,8,23,0.406779661,56329,58069,已流失
232,5,12.17241379,0.817583423,3,13,0.559322034,74055,62728,准流失
233,6,8.597560976,1.254728561,2,34,0.56626506,69401,45832,准流失
234,4,41.44444444,0.966,6,7,0.2,26753,113990,已流失
235,6,6.330434783,0.866121649,0,11,0.474137931,60244,54061,已流失
236,6,7.755319149,0.849043083,10,48,0.357894737,48759,64394,已流失
237,6,8.243589744,0.778897164,0,9,0.670886076,63363,30862,准流失
238,6,9.64,1.367977249,0,7,0.421052632,56120,54237,已流失
239,6,7.282828283,1.282347182,9,13,0.6,61924,49271,准流失
240,6,6.858490566,0.710868219,8,23,0.551401869,52682,40270,准流失
241,4,15.45833333,1.074683178,4,5,0.2,32205,99566,已流失
242,6,6.336283186,0.774562836,2,7,0.51754386,50510,51695,准流失
243,5,11.19642857,1.394920314,5,14,0.631578947,65274,38369,准流失
244,6,9.413333333,0.98076627,6,10,0.565789474,58061,52268,准流失
245,6,43.3,1.05,0,1,0.545454545,74028,61690,准流失
246,5,16.35714286,1.240551283,0,2,0.581395349,63718,40705,准流失
247,5,36.21052632,0.784519543,0,0,0.6,56358,37813,准流失
248,6,13.25,1.373478,0,4,0.641509434,79724,36583,准流失
249,6,12.8,1.403768453,14,20,0.5,59276,52370,准流失
250,6,8.746987952,0.827823318,4,9,0.5,56363,49907,准流失
251,6,6.536363636,0.819703519,7,12,0.666666667,68347,42868,准流失
252,6,6.537037037,0.921339098,3,11,0.513761468,45191,62557,准流失
253,5,12.15254237,1.175007596,11,17,0.433333333,43017,63229,已流失
254,5,12.13333333,0.713012031,2,35,0.606557377,36555,56374,准流失
255,6,16.97619048,1.231469603,0,4,0.674418605,88904,31154,准流失
256,6,4.837837838,0.724336929,7,25,0.55033557,50354,40371,准流失
257,6,11.38095238,1.020765158,1,4,0.790697674,79278,17310,准流失
258,4,11.70909091,0.995827664,3,8,0.392857143,34507,74830,已流失
259,6,7.795698925,1.040933738,3,6,0.542553191,56272,45741,准流失
260,6,8.361445783,0.811427392,5,9,0.464285714,45144,62604,已流失
261,5,40.8,1.051401627,0,1,0.875,92589,30242,准流失
262,6,5.598425197,0.856878118,12,17,0.5234375,51819,48539,准流失
263,6,5.780487805,0.860026534,11,15,0.5,49208,49336,准流失
264,6,6.6,0.859196613,4,10,0.54954955,39219,55945,准流失
265,6,9.552631579,0.832180765,8,12,0.597402597,64676,44518,准流失
266,5,17.04878049,1.436042137,5,10,0.428571429,51046,55314,已流失
267,6,5.902439024,0.695089955,2,31,0.612903226,54585,33399,准流失
268,5,37.33333333,1.156085303,8,12,0.473684211,68490,41645,已流失
269,4,12.82692308,0.828407972,8,14,0.396226415,45067,70116,已流失
270,6,12.15,1.337276713,2,7,0.573770492,62006,41486,准流失
271,6,43.0,1.056396083,2,3,0.705882353,101450,34204,准流失
272,6,15.12765957,0.934725209,3,12,0.645833333,71924,50850,准流失
273,6,23.4,1.178456641,0,4,0.692307692,98449,23050,准流失
274,6,16.64285714,1.395587087,5,8,0.534883721,52133,55151,准流失
275,4,7.73255814,0.962306964,3,9,0.540229885,55815,52628,准流失
276,6,6.433628319,0.889901525,8,15,0.587719298,66199,39534,准流失
277,6,13.37735849,1.462917873,2,9,0.481481481,48758,51660,已流失
278,5,10.59701493,0.676618926,10,21,0.382352941,41438,59599,已流失
279,6,6.495495495,0.82046172,3,7,0.401785714,41838,60427,已流失
280,5,9.847222222,0.673120738,1,34,0.424657534,42740,49968,已流失
281,6,14.0625,1.368281891,2,5,0.591836735,66918,30001,准流失
282,5,14.82051282,0.868515165,5,16,0.625,73042,44010,准流失
283,6,8.87654321,0.81353969,0,3,0.609756098,66524,37211,准流失
284,6,4.705882353,0.848141331,6,15,0.519480519,51099,52115,准流失
285,5,12.05263158,0.755701956,2,31,0.5,81465,17224,准流失
286,5,14.21568627,1.120337764,1,5,0.442307692,49730,49923,已流失
287,6,14.95238095,1.388142957,2,6,0.674418605,70658,37404,准流失
288,6,6.980769231,0.788873392,1,51,0.542857143,63669,45048,准流失
289,6,7.572916667,0.93836632,4,6,0.505154639,56165,43159,准流失
290,6,38.0,0.896000164,5,6,0.294117647,31919,98189,已流失
291,4,21.35483871,1.416159832,0,1,0.53125,56642,44128,准流失
292,5,20.05555556,0.914270784,8,26,0.621621622,73501,46552,准流失
293,5,8.470588235,0.682643911,4,7,0.441860465,32462,55425,已流失
294,6,11.36065574,0.778110575,0,1,0.548387097,49633,37624,准流失
295,5,10.31818182,0.856602875,0,3,0.597014925,70924,38599,准流失
296,6,8.674698795,0.837625235,8,36,0.369047619,33227,64639,已流失
297,6,6.215517241,0.816301476,2,6,0.487179487,60289,50981,已流失
298,6,5.966942149,0.837572715,8,13,0.549180328,56277,45399,准流失
299,5,8.220930233,0.82610529,1,40,0.517241379,46656,49676,准流失
300,6,9.486111111,1.434756209,17,23,0.479452055,43873,55082,已流失
301,6,7.520833333,0.949395993,6,13,0.453608247,46755,44173,已流失
302,5,7.847826087,0.7180637,4,5,0.612903226,54665,35821,准流失
303,6,8.780487805,0.801739699,6,44,0.530120482,52368,52068,准流失
304,6,6.730769231,0.737595174,2,8,0.60952381,54868,46620,准流失
305,5,25.53846154,0.654476682,0,0,0.518518519,40944,36292,准流失
306,5,29.26086957,0.968107765,0,0,0.583333333,61886,53271,准流失
307,6,5.338235294,0.874927107,6,12,0.598540146,63406,37088,准流失
308,6,9.732142857,1.187537496,0,1,0.684210526,71747,33910,准流失
309,5,14.7755102,1.201031476,12,69,0.4,47930,53189,已流失
310,4,16.36363636,0.765013009,0,7,0.488888889,38184,62886,已流失
311,6,6.657407407,0.877036239,4,7,0.541284404,47410,52549,准流失
312,6,15.6,1.32374168,0,2,0.5,57643,40462,准流失
313,6,9.394736842,0.763144213,11,44,0.623376623,62192,37827,准流失
314,6,12.22033898,0.689844509,3,36,0.533333333,56358,37146,准流失
315,6,10.04615385,0.705022823,1,16,0.727272727,55248,28009,准流失
316,5,9.328947368,0.74088551,3,6,0.61038961,52303,41019,准流失
317,6,9.342105263,1.325833583,4,30,0.467532468,45453,54122,已流失
318,6,26.03703704,1.378992322,0,2,0.642857143,64198,33480,准流失
319,4,18.39393939,0.739229694,3,3,0.529411765,65842,34301,准流失
320,5,11.16393443,0.751386294,0,8,0.532258065,63020,33749,准流失
321,6,13.25,1.440717609,0,3,0.603773585,62605,38366,准流失
322,6,20.16666667,1.459011837,0,6,0.540540541,51834,43971,准流失
323,5,7.11827957,0.839762709,0,4,0.393617021,42570,55986,已流失
324,6,14.21276596,1.423607397,4,19,0.708333333,67113,34116,准流失
325,6,13.68627451,1.430674841,0,4,0.5,47379,52246,准流失
326,5,14.2745098,0.776371777,0,9,0.519230769,58287,36513,准流失
327,5,11.94827586,0.827179729,4,8,0.406779661,28054,55937,已流失
328,5,9.915492958,0.705943112,2,11,0.527777778,40676,44833,准流失
329,5,15.5,1.37078264,10,11,0.468085106,41886,60927,已流失
330,6,6.79245283,0.619739087,6,22,0.280373832,14872,56559,已流失
331,6,7.326315789,0.771855467,9,13,0.4375,34202,59812,已流失
332,5,5.198473282,0.694012613,2,5,0.484848485,38992,50273,已流失
333,6,4.341317365,0.800659159,5,21,0.547619048,52295,49397,准流失
334,5,14.79166667,0.837061811,0,6,0.469387755,53861,55457,已流失
335,4,52.90909091,1.00799115,4,9,0.416666667,46978,76066,已流失
336,4,20.22857143,0.954319431,7,35,0.416666667,36748,73470,已流失
337,6,30.8,0.760666667,1,3,0.571428571,48325,35780,准流失
338,5,11.72881356,0.760252081,0,6,0.383333333,33533,47238,已流失
339,6,8.385542169,0.8915401,0,11,0.488095238,54249,43261,已流失
340,6,12.44827586,1.075326325,0,0,0.677966102,72666,23511,准流失
341,6,6.213675214,0.746258043,4,39,0.56779661,53400,38602,准流失
342,6,14.64583333,1.327684941,0,4,0.346938776,41245,59766,已流失
343,5,7.698630137,0.91433425,0,1,0.648648649,64878,29052,准流失
344,5,11.01587302,0.744006522,2,3,0.46875,47970,45376,已流失
345,6,15.32608696,1.461826465,2,3,0.446808511,42817,52980,已流失
346,6,16.17777778,1.462023883,7,9,0.543478261,53514,46986,准流失
347,6,6.192982456,0.8967864,2,5,0.52173913,56557,43011,准流失
348,5,26.2962963,1.434513512,0,5,0.785714286,77710,17934,准流失
349,5,34.45454545,1.029644795,4,9,0.083333333,12214,111356,已流失
350,5,11.203125,1.107523948,3,10,0.230769231,13384,80353,已流失
351,6,28.2173913,0.562442563,0,1,0.333333333,37778,61405,已流失
352,5,14.08163265,0.760115583,0,2,0.72,63544,23938,准流失
353,6,7.422680412,0.728867305,2,15,0.571428571,47857,43551,准流失
354,5,15.62222222,1.398998609,5,9,0.717391304,67700,27950,准流失
355,4,7.75,0.899280547,2,4,0.540983607,65399,28982,准流失
356,4,22.55555556,1.238878525,0,2,0.428571429,43837,57792,已流失
357,5,24.33333333,1.386176542,6,6,0.571428571,50464,42870,准流失
358,4,27.875,0.978310605,2,3,0.705882353,72993,46321,准流失
359,6,14.36,1.416135816,0,4,0.529411765,52126,44062,准流失
360,6,8.5,0.974864579,0,13,0.435294118,46181,43040,已流失
361,6,5.692913386,0.69244581,0,5,0.6328125,51352,31771,准流失
362,4,25.31818182,0.650619648,0,0,0.695652174,53644,20578,准流失
363,5,9.38961039,0.84343724,4,5,0.448717949,43304,57454,已流失
364,5,11.0,0.754458243,8,39,0.52238806,49676,35743,准流失
365,6,7.568421053,0.775295546,2,24,0.59375,48781,33419,准流失
366,5,6.025641026,0.710068848,1,4,0.398305085,41299,46808,已流失
367,4,6.776470588,0.792415925,4,6,0.593023256,54231,33173,准流失
368,5,20.2,0.82250645,0,3,0.527777778,53889,55777,准流失
369,5,64.66666667,1.025894957,9,10,0.2,27916,91485,已流失
370,6,22.12121212,1.443316261,0,2,0.647058824,60429,31485,准流失
371,5,32.13636364,1.357742091,0,1,0.608695652,59578,31891,准流失
372,5,9.506666667,0.731532688,3,7,0.605263158,56763,36165,准流失
373,6,10.68181818,0.696498655,0,0,0.844444444,67049,7074,准流失
374,6,6.445454545,0.697522309,4,57,0.513513514,49481,32076,准流失
375,6,15.08695652,1.230913428,3,6,0.489361702,51618,49323,已流失
376,6,8.734939759,1.337146213,6,10,0.55952381,51601,44805,准流失
377,6,5.473684211,0.867424696,6,19,0.514925373,51563,46364,准流失
378,5,15.82222222,0.771173327,1,1,0.5,40120,40572,准流失
379,5,7.536842105,0.746628299,2,32,0.552083333,43996,38103,准流失
380,5,41.8,0.936013465,3,6,0.25,20345,77322,已流失
381,6,8.768292683,0.755460796,9,20,0.56626506,45494,43473,准流失
382,6,7.793478261,0.91579564,2,7,0.419354839,35633,57608,已流失
383,4,42.33333333,0.632307692,0,0,0.692307692,55828,18608,准流失
384,5,14.88571429,0.886428351,4,9,0.805555556,58752,46106,准流失
385,5,10.0,0.810458452,5,77,0.452054795,34700,51233,已流失
386,6,7.010309278,1.303309449,0,3,0.714285714,69309,28194,准流失
387,6,6.330434783,0.710483528,6,15,0.534482759,42068,43510,准流失
388,6,11.66666667,1.230116011,0,4,0.426229508,42926,53962,已流失
